RecordedDate,Q1
Recorded Date,Select all options you feel accurately describe the social and academic culture of DKU.
"{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""QID1""}"
2018-10-28 00:35:27,"Friendly,Dynamic,Challenging,Multicultural,Difficult"
2018-10-28 00:35:46,"Diverse,Friendly,Harmonious,Supportive,Positive,Fun,Global,Multicultural"
2018-10-28 00:35:46,"Diverse,Boring,Difficult"
2018-10-28 00:36:00,"Inclusive,Friendly,Supportive,Positive,Challenging,Global,Open-minded,Difficult,Indifferent"
2018-10-28 00:36:14,"Friendly,Challenging,Competitive,Global,Multicultural,Open-minded,Cliquey,Competitive,Discriminatory"
2018-10-28 00:36:26,"Inclusive,Diverse,Friendly,Dynamic,Harmonious,Supportive,Positive,Challenging,Competitive,Fun,Global,Innovative,Open-minded,Competitive"
2018-10-28 00:36:37,"Inclusive,Diverse,Dynamic,Supportive,Positive,Challenging,Fun,Competitive,Difficult"
2018-10-28 00:36:44,"Diverse,Friendly,Dynamic,Harmonious,Supportive,Positive,Challenging,Fun,Global,Multicultural"
2018-10-28 00:37:30,"Diverse,Friendly,Dynamic,Supportive"
2018-10-28 00:37:45,"Diverse,Friendly,Harmonious,Supportive,Positive,Challenging,Global,Innovative,Multicultural,Open-minded"
2018-10-28 00:38:40,Indifferent
2018-10-28 00:38:40,Global
2018-10-28 00:38:41,"Diverse,Dynamic,Supportive,Global,Innovative,Multicultural"
2018-10-28 00:38:56,"Diverse,Friendly,Harmonious,Challenging,Multicultural,Open-minded,Boring,Cliquey,Difficult,Indifferent"
2018-10-28 00:39:26,"Diverse,Harmonious,Challenging,Competitive,Global,Multicultural,Cliquey,Competitive"
2018-10-28 00:39:29,"Diverse,Dynamic,Harmonious,Challenging,Competitive,Global,Multicultural,Open-minded,Competitive"
2018-10-28 00:40:03,"Inclusive,Diverse,Friendly,Dynamic,Harmonious,Supportive,Positive,Fun,Multicultural,Open-minded"
2018-10-28 00:42:19,"Inclusive,Friendly,Harmonious,Supportive,Positive,Challenging,Fun,Global,Innovative,Multicultural,Open-minded"
2018-10-28 00:43:03,"Diverse,Global,Multicultural,Boring,Cliquey"
2018-10-28 00:43:47,"Boring,Cliquey,Difficult,Indifferent"
2018-10-28 00:43:58,"Friendly,Supportive,Positive,Open-minded,Cliquey"
2018-10-28 00:45:28,"Friendly,Harmonious,Positive,Fun,Multicultural,Difficult"
2018-10-28 00:47:45,"Diverse,Friendly,Fun,Global,Multicultural,Open-minded,Competitive"
2018-10-28 00:55:27,"Diverse,Friendly,Challenging,Global,Open-minded,Cliquey,Difficult"
2018-10-28 00:56:03,"Inclusive,Friendly,Dynamic,Harmonious,Positive,Fun,Global,Innovative,Multicultural,Open-minded"
2018-10-28 00:57:24,"Challenging,Multicultural,Difficult"
2018-10-28 01:01:13,"Diverse,Friendly,Dynamic,Harmonious,Supportive,Positive,Challenging,Fun,Global,Innovative,Multicultural,Open-minded"
2018-10-28 01:01:40,"Diverse,Dynamic,Challenging,Global,Open-minded"
2018-10-28 01:02:39,"Diverse,Friendly,Dynamic,Multicultural"
2018-10-28 01:09:22,"Inclusive,Diverse,Friendly,Dynamic,Harmonious,Supportive,Positive,Challenging,Fun,Global,Innovative,Multicultural,Open-minded"
2018-10-28 01:19:01,"Inclusive,Diverse,Friendly,Dynamic,Harmonious,Supportive,Positive,Challenging,Fun,Innovative,Multicultural,Open-minded"
2018-10-28 01:28:12,"Diverse,Friendly,Supportive,Fun,Global"
