#,List up to three adjectives you HOPE will describe the social and academic culture of DKU,List up to three adjectives you FEAR will describe the social and academic culture of DKU,List up to three adjectives you THINK will describe the social and academic culture of DKU,Start Date (UTC),Submit Date (UTC),Network ID
aa1d74f275a4c02f0aab16a7868ee4b9,"Familiar, warm, fun","Hostile, ","Diverse, fun",2018-08-01 16:05:15,2018-08-01 16:08:17,18fb8c4472
ef74b61610b0c2b2f008ca637e46496c,democratic free tolerance,autocratic communist silent,positive multiculture concentrated,2018-08-01 11:29:34,2018-08-01 11:35:05,d81428ab9a
6b8c98e6a5d59acbcaf12ed68fd4149c,active natural sincere,boring  disharmonious  flickle,colorful challenging harmonious,2018-08-01 09:48:04,2018-08-01 09:53:56,84c9218967
dce65ca1e5e02241c1d20a9320019315,positive harmonious adventurous,conflict   too entertaining   corrupting,stressful but exciting     fruitful   open-minded,2018-08-01 07:48:13,2018-08-01 07:51:19,63e3e99b97
405d27a8484a6e31fa29ab24217e92c4,liberal inclusive innovative,compulsory  authoritarian indifferent,enthusiastic innovative student-oriented,2018-08-01 01:57:29,2018-08-01 04:28:18,2c1adb1aca
d530e4d098b1b71c5b7236d180b9979b,"Muilt-cultural ,dynamic,friendly ","embarrassed ,cold ,indifferent ","Harmonious,friendly,multi-cultural ",2018-08-01 04:06:16,2018-08-01 04:09:56,1f10c25044
e80ab9683523b0bd0b03631d7d7f0ec5,Encompassing Caring Harmonious,Intense Rivalrous Inharmonious,Diverse Competitive Diligent,2018-08-01 03:09:19,2018-08-01 03:12:43,c240b33e6c
2c813b7512a0b79950547253a3ac2990,friendly open precise,exclusive difficult rigid,open cozy multicultural,2018-08-01 02:10:28,2018-08-01 02:23:16,d47e60237f
41c837d2b4eb6e09e4f2c4bdc64d19c0,Flexible Diverse variety ,Rigorous unmerciful dead,Positive friendly coorperative ,2018-08-01 01:58:09,2018-08-01 02:00:05,6f05263047
34800d30afdff3e77000677791e4022d,"vigorous,diverse,peaceful",fretted hierarchical stressful,diverse global exploring,2018-08-01 01:53:28,2018-08-01 01:59:22,7b700e0e3a
9fe405839069ddcb81c74b9db4300df3,,,,2018-08-01 01:24:01,2018-08-01 01:24:15,8fe0eaa4ed
e109b93ea5853147849c2f8e1f30d153,Open-minded comprehensive tolerant ,Competitive ,competitive open-minded ,2018-08-01 01:10:01,2018-08-01 01:17:28,15a62a2b05
16a298c7ca0b7fe6cd4978b4e28f7103,hopeful brilliant challenging,difficult hard tough,excellent meaningful colorful,2018-08-01 01:07:05,2018-08-01 01:09:48,009583bb23
e67fa94a5bcb41994df9ade50eb1d53e,Free inspiring exciting,"Difficult, new",Beneficial,2018-08-01 01:01:13,2018-08-01 01:05:57,ef103e1f97
ad7740d058b13ef30eb4f22ce84109bd,interesting multicultural,challenging ,high-quality,2018-08-01 01:01:16,2018-08-01 01:02:51,43355d09ae
e6485ef34545b035a8338b30fba427fd,Accepting compassionate motivated,Cliquey judgemental selfish,Determined accepting motivated ,2018-08-01 00:58:20,2018-08-01 01:00:25,a5c7a1875f
02283ac9ea7565c76f8dd7755b5b03d6,"creative, initiative, engaging","Independent, competitive, isolating ","interacting, collaborative, encouraging ",2018-08-01 00:53:24,2018-08-01 00:57:36,b72ab25855
ecc74c5e525ef44e89729f0be72716c4,creative advance attractive,boring indifferent inflexible,innovative environmental academic,2018-08-01 00:46:49,2018-08-01 00:54:47,463efe8981
907cd22c3a671059e127415eb53a02ea,dynamic hard-working positive,unsupportive inactive,warm unique,2018-08-01 00:32:56,2018-08-01 00:44:27,537344b818
cc65b7803164066d84f2a90e7deee283,forward-thinking noncompetitive communal,competitive separate disjointed  ,different globalized innovative ,2018-08-01 00:35:19,2018-08-01 00:44:03,75f3330cb0
2efedf979b12ca269f9ca0f4329c84f5,Optimistic Cooperation Harmonious,Separated Sybaritic Hierarchical,Diverse Optimistic Harmonious,2018-08-01 00:33:26,2018-08-01 00:40:12,993a31618d
f6fa653443187df5ccbdfb3d09258f6e,practical active lively,unrealistic mute passive,pratical active easy,2018-08-01 00:33:21,2018-08-01 00:37:20,d6a340c37a
876a37a2fad474f8c2b3c0469eab88cb,Optimistic Interconnected Enlightening,Cliquey ,Memetic Tight-knit Accepting,2018-08-01 00:29:21,2018-08-01 00:33:46,05d1cb8f10
d2185c92c72aaf06071e36531acb4f65,United  encouraging respectful ,discriminational,encouraging lovely,2018-08-01 00:28:21,2018-08-01 00:31:54,7c15ee62b0
ad126f78cb411015e0467e5c3c6d4c99,diversiform kind respectful,segregated passive distant,positive promising harmonious,2018-08-01 00:24:28,2018-08-01 00:30:53,b26df379b1
a6791a152fd8c52be86f164b7f882078,"Comfort, Excellence, Friendly","Dirty, untrustworthy, Lazy","excellence, friendly, hardworking",2018-08-01 00:23:49,2018-08-01 00:27:03,dac0b6c4cd
3246a8ce06d93886bac4c83b47ef1723,"Inclusive, welcoming, lively","Cliquey, unwelcoming ","Fast paced, challenging, rewarding",2018-08-01 00:16:36,2018-08-01 00:17:56,1774a53ff2
106acdd55210346e1f05b5ea3d4d0dce,Dynamic Rigorous Cooperative ,Egoism Unfair Discriminate,Global Competitive  ,2018-08-01 00:03:53,2018-08-01 00:12:46,bd1c242db8
4254ce50238c112a06e3363689096e22,Inclusive open comprehensive ,Prejudicial classist narrow-minded,Open-minded divided comprehensive ,2018-07-31 23:22:11,2018-07-31 23:30:33,19de7a29b2
7a97f5c58cd5a9fce44800a06c848ad2,"Inclusive, diverse, hardworking","Stressful, boring, isolated","fun, interesting, challenging",2018-07-31 23:27:14,2018-07-31 23:29:19,3e26049e39
0b27a9ae2eead4e663b3af26bfde8bcb,"Accepting, Supportive and Interesting. ","Judgy, Uncomprehending, Obnoxious. ","Difficult, Egotistical, Comprehensive. ",2018-07-31 23:22:06,2018-07-31 23:26:10,ef0fa7811e
d1f4d669dd11812b293712099ed489fe,"Diverse, inclusive, engaging ",Discrimination misunderstanding disassociated ,Curiosity positivity community ,2018-07-31 23:18:34,2018-07-31 23:21:13,910affbdca
ee463582306292a7fb5cb4af6ebb6fe6,supportive collaborative inclusive,divided close-minded impatient,curious friendly collaborative,2018-07-31 22:52:09,2018-07-31 22:55:22,d0caa2f597
055075f56b6ab3f9c93a909916ffb1cf,"Inclusive, supportive, fun",Stiff depressing tedious ,Intelligent exciting fun,2018-07-31 22:50:23,2018-07-31 22:51:33,acbae0b1bb
14bd49ff1028ecdd9adf80269591b1f0,Diverse ,Friendly ,Challenging,2018-07-31 22:50:24,2018-07-31 22:51:32,7d9c84b752
